name,number,team,Games played,time(min),2pt,2pt shot,2pt percentage,3pt,3pt shot,3pt percentage,free throw,free throw shot,free throw percentage,pt,offReb,defReb,tReb,assist,steal,block,turn over,foul
周桂羽,8,臺北富邦勇士,38,21:27,1.89,3.66,51.8%,0.68,1.97,34.67%,1.05,1.47,71.43%,6.89,0.89,1.37,2.26,2.79,0.87,0.18,1.45,1.63
林孟學,13,臺北富邦勇士,26,7:19,0.58,1.27,45.45%,0.15,0.35,44.44%,0.27,0.69,38.89%,1.88,0.31,0.85,1.15,0.5,0.04,0.08,0.19,0.77
曾祥鈞,21,臺北富邦勇士,33,26:31,3.67,7.3,50.21%,0.58,1.94,29.69%,2.09,2.85,73.4%,11.15,1.52,4.3,5.82,1.18,0.94,1.09,1.24,2.33
林書緯,1,新北國王,36,31:43,2.53,5.75,43.96%,1.97,6.22,31.7%,0.97,1.56,62.5%,11.94,0.81,2.78,3.58,5.14,1.47,0.47,3,1.81
張伯維,77,高雄17直播鋼鐵人,34,17:7,0.97,2.24,43.42%,0.65,2.47,26.19%,0.26,0.47,56.25%,4.15,0.62,1.79,2.41,0.79,0.68,0.06,0.79,1.82
郭少傑,24,新竹街口攻城獅,37,14:2,0.62,1.32,46.94%,0.68,2.57,26.32%,0.7,0.95,74.29%,3.97,0.3,1.08,1.38,0.59,0.46,0,0.65,1.16
林志傑,12,臺北富邦勇士,29,20:45,1.31,2.69,48.72%,1.28,4.66,27.41%,1.24,1.76,70.59%,7.69,1.07,2.45,3.52,3.03,0.69,0.03,1.9,1.24
蔡文誠,14,臺北富邦勇士,39,11:42,1.64,3.41,48.12%,0.23,1.13,20.45%,0.44,0.64,68%,4.41,0.67,1.54,2.21,0.92,0.41,0.03,0.56,1.03
石博恩,23,臺北富邦勇士,31,12:5,1,2.42,41.33%,0.71,2.45,28.95%,0.29,0.45,64.29%,4.42,0.58,2.1,2.68,0.32,0.39,0.13,0.48,1.74
吳家駿,3,福爾摩沙台新夢想家,38,18:42,1.21,2.87,42.2%,0.66,1.89,34.72%,0.55,0.92,60%,4.95,0.42,1.47,1.89,2.26,0.68,0.08,0.97,1.34
林耀宗,7,福爾摩沙台新夢想家,22,7:50,0.5,1.23,40.74%,0.18,0.5,36.36%,0.05,0.32,14.29%,1.59,0.82,1.5,2.32,0.27,0.41,0.09,0.41,0.91
陳冠全,15,桃園璞園領航猿,35,20:7,1.06,2.8,37.76%,0.86,2.77,30.93%,0.54,0.86,63.33%,5.23,0.89,2.11,3,1.4,0.91,0.31,1.34,1.66
施晉堯,28,桃園璞園領航猿,34,28:4,2.09,4.56,45.81%,1.24,4.71,26.25%,1.26,1.82,69.35%,9.15,0.85,2.53,3.38,3.18,1.68,0.09,1.62,2.94
邱柏璋,14,高雄17直播鋼鐵人,20,13:12,1.1,3.45,31.88%,0.45,0.9,50%,0.15,0.2,75%,3.7,0.6,1.35,1.95,0.9,0.35,0,0.75,1.6
關達祐,6,桃園璞園領航猿,24,10:25,0.83,1.96,42.55%,0.33,1.38,24.24%,0.63,0.96,65.22%,3.29,0.54,0.83,1.38,1.58,0.79,0.04,0.79,1.17
悟空,3,高雄17直播鋼鐵人,14,29:23,3.07,5.43,56.58%,2.64,6.57,40.22%,2.57,3.64,70.59%,16.64,0.5,3.43,3.93,3.5,2.21,0.5,1.93,2.93
周儀翔,6,高雄17直播鋼鐵人,7,28:31,0.86,3,28.57%,1.14,4.29,26.67%,0.86,1.29,66.67%,6,0.14,2,2.14,2,0,0.14,1.86,2.14
瓊斯,2,臺北富邦勇士,4,32:17,2.75,5.75,47.83%,1.25,5.5,22.73%,1.5,2.25,66.67%,10.75,1,5.5,6.5,4,0.75,1.25,2.5,1.75
牧倫斯,5,新北國王,29,33:27,6.24,10.62,58.77%,2.28,6.28,36.26%,2.62,4.03,64.96%,21.93,3.97,11.79,15.76,2.72,0.76,1.55,2.28,1.72
克拉索夫,55,高雄17直播鋼鐵人,13,40:45,7.77,13.62,57.06%,0.15,0.38,40%,5.08,7.62,66.67%,21.08,2.92,8.46,11.38,1.62,1,1.38,3.15,1.92
